class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
2,21624.3,6.00,6.00,18.00,54.43,181.41,39.00,0.837745,663.6,2095.69,5528.49,110.06,124.212,2.00,36.8617,0.902191,149.00,0.166667,1.0275,79.9746,79.0459,1.02842
2,16849.4,7.00,9.00,25.00,184.03,163.02,39.00,0.601348,1363.21,2729.16,4439.72,202.384,247.094,3.00,54.5236,0.896221,279.00,0.444444,1.00,69.9686,61.6912,1.02899
2,20530.5,4.00,5.00,14.00,167.65,207.71,33.00,0.798601,981.681,2540.9,5327.99,221.64,247.348,2.00,70.1157,0.910064,173.00,0.6,1.5,66.4159,28.1933,1.03341
2,22460.9,1.00,12.00,25.00,160.78,373.17,48.00,0.819227,1328.15,3291.19,6096.28,408.107,430.883,8.00,53.1208,0.922969,183.00,0.592857,1.30167,65.0057,68.2629,1.01954
2,21021.8,1.00,14.00,29.00,163.35,419.33,100.5,0.87367,1895.33,4904.5,5992.05,478.227,624.527,10.00,65.3507,0.903463,225.00,0.62619,1.50833,66.2601,62.498,1.02602
2,5745.1,5.00,14.00,33.00,191.98,204.3,75.00,0.557696,1609.3,2671.69,1683.3,157.519,224.417,5.00,48.7615,0.902197,296.00,0.328571,2.005,67.612,57.3641,1.03378
2,27248.6,8.00,3.00,14.00,82.96,247.61,34.5,0.831098,879.776,2564.43,6960.45,188.641,204.569,1.00,62.8357,0.886884,164.00,0.333333,0.00,50.8027,40.9329,1.03675
2,34247.1,7.00,7.00,21.00,109.18,194.91,33.00,0.734564,943.218,2737.47,8705.54,162.532,180.954,2.00,44.9095,0.886458,195.00,0.285714,1.48,113.708,66.1196,1.03855
2,19958.1,8.00,3.00,14.00,131.37,165.8,45.00,0.877507,915.78,2522.6,5194.91,151.231,171.538,1.00,65.4071,0.892112,146.00,0.333333,0.625,78.2584,54.1196,1.02606
2,25868.8,6.00,9.00,24.00,109.53,189.77,31.5,0.880256,1095.11,3274.77,6797.15,152.784,177.345,3.00,45.6246,0.907527,195.00,0.333333,1.6025,83.22,57.0209,1.02742
2,20575.7,7.00,10.00,27.00,125.94,225.61,75.00,0.78122,1420.48,3604.61,5524.26,202.087,241.887,3.00,52.6052,0.878536,259.00,0.5,0.82,82.8429,62.1898,1.04321
2,23193.1,6.00,12.00,30.00,159.86,208.8,67.5,0.729948,1789.46,4304.01,6284.7,254.274,282.566,3.00,59.6437,0.854101,305.00,0.444444,0.975,84.4656,56.4728,1.03954
2,31785.00,9.00,15.00,39.00,171.05,240.9,63.00,0.654394,1957.6,4385.52,8367.53,179.207,191.487,4.00,50.1895,0.880824,355.00,0.466667,1.299,83.1401,80.2154,1.03276
2,20306.8,6.00,12.00,30.00,178.16,331.3,60.00,0.731059,1915.22,4256.55,5528.7,238.771,340.871,4.00,63.8357,0.881497,287.00,0.458333,1.6625,102.872,63.4534,1.02871
