class,name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21
5,Culture-465-2.CNG.swc_4-CNG,6879.8,1,14,29,135.2,235.97,7.99,0.159903,1251.99,802.257,1724.72,215.067,235.805,7,0.925375,431,0.447619,0,53.4773,40.8401,1.02006
5,Culture-466-1.CNG.swc_1-CNG,8839.41,1,7,15,61.74,125.21,9.88,0.404464,383.545,707.373,2211.27,122.414,138.519,4,0.947926,126,0.6,0,65.3359,70.2671,1.01708
5,Culture-466-1.CNG.swc_2-CNG,8839.41,1,6,13,153.72,165.29,9.29,0.333391,557.189,745.559,2211.94,194.915,210.497,4,0.954809,160,0.555556,0,71.7216,51.2571,1.01373
5,Culture-466-1.CNG.swc_3-CNG,8839.41,1,3,7,146.56,114.95,7.08,0.543511,291.581,687.149,2210.92,167.482,187.509,2,0.951203,89,0.666667,0,84.529,74.6485,1.01868
5,Culture-466-1.CNG.swc_4-CNG,8839.41,1,3,7,106.47,104.931,7.03,0.698993,232.228,674.096,2210.69,154.329,175.64,2,0.919815,67,0.666667,0,89.5259,46.756,1.02323
5,Culture-466-1.CNG.swc_5-CNG,8839.41,1,1,3,37.24,60.4888,4.03,2.41125,85.3599,641.798,2210.13,67.466,71.2424,0,0.982331,18,1,0,0,0,1.01399
5,Culture-466-1.CNG.swc_6-CNG,8839.41,1,1,3,13.84,49.0088,4.38,2.41125,66.4731,637.645,2210.05,44.0328,52.3556,0,0.947011,18,1,0,0,0,1.02101
5,Culture-466-2.CNG.swc_1-CNG,13865.9,1,9,19,71.87,285.32,12.34,0.231716,992.786,1060.03,3470.23,169.666,187.615,5,0.944566,303,0.547619,0,56.3073,54.5175,1.01588
5,Culture-466-2.CNG.swc_2-CNG,13865.9,1,3,7,128.34,51.38,2.61,0.750557,234.891,893.357,3467.32,139.425,150.001,2,0.966296,72,0.666667,0,18.5287,16.3721,1.01164
5,Culture-466-2.CNG.swc_3-CNG,13865.9,1,3,7,92.83,167.78,5.21,0.639768,294.081,906.373,3467.55,134.471,164.749,2,0.94199,86,0.666667,0,44.3657,105.204,1.0151
5,Culture-466-2.CNG.swc_4-CNG,13865.9,1,6,13,120.11,174.07,12.14,0.336305,565.016,965.955,3468.59,206.449,249.479,4,0.936703,184,0.555556,0,56.4965,39.1802,1.02197
5,Culture-466-2.CNG.swc_5-CNG,13865.9,1,14,29,178.98,261.02,9.66,0.187506,1318.41,1131.64,3471.49,161.638,190.409,7,0.950238,417,0.526644,0,75.5462,67.294,1.01734
5,Culture-466-2.CNG.swc_6-CNG,13865.9,1,3,7,37.1,86.21,6.19,1.13522,164.124,877.794,3467.05,93.9676,99.1487,2,0.963349,46,0.666667,0,101.812,46.0515,1.00956
5,Culture-466-3.CNG.swc_1-CNG,32180.8,1,6,13,302.76,107.96,1.97,0.478449,841.175,1661.98,8048.36,331.219,387.439,5,0.950554,159,0.833333,0,82.7378,71.7773,1.01409
5,Culture-466-3.CNG.swc_2-CNG,32180.8,1,9,19,287.13,191.57,2.78,0.361226,1205.65,1742.13,8049.77,230.634,262.592,5,0.971372,223,0.466667,0,61.5657,60.356,1.0111
5,Culture-466-3.CNG.swc_3-CNG,32180.8,1,1,3,66.26,142.769,1.49,2.38941,177.598,1516.05,8045.81,149.545,155.88,0,0.986452,28,1,0,0,0,1.00699
5,Culture-466-3.CNG.swc_4-CNG,32180.8,1,2,5,177.83,131.93,2.68,1.17074,358.202,1555.77,8046.5,202.271,214.002,1,0.971101,59,0.5,0,54.5042,54.052,1.01129
